D,N,exp_name,exp_value,exp_std,notes
2,16,gamma_1_a,1.462342160037157,0.14280155231918576,
2,16,gamma_2_a,1.7880847851451842,0.5367447713665088,
2,16,k_c,0.2304517438070681,0.0009510429544078473,from gamma_a
2,32,gamma_1_a,1.7215882418742825,0.12987992024601272,
2,32,gamma_2_a,0.6344658142823212,1.032988001043674,
2,32,k_c,0.22649171939242405,0.00038331928857861177,from gamma_a
2,64,gamma_1_a,2.540629677243776,0.1139120151393428,
2,64,gamma_2_a,1.1672716107934022,0.4597692601414018,
2,64,k_c,0.22343600702608585,6.47185259102522e-05,from gamma_a
3,4,gamma_1_a,1.3054422269283947,0.09709347980535103,
3,4,gamma_2_a,1.1275784373763509,0.5139954781974542,
3,4,k_c,0.14714529282803454,0.00019183566275871223,from gamma_a
3,6,gamma_1_a,1.9944041431251118,0.18312237465462666,
3,6,gamma_2_a,1.2723254610340071,0.5340558367533339,
3,6,k_c,0.1270791996492685,0.0006704709106088269,from gamma_a
3,8,gamma_1_a,1.9942588471804223,0.2873490104680603,
3,8,gamma_2_a,1.5805188122987033,0.30667431309401666,
3,8,k_c,0.11702185112220798,0.0008842859459585988,from gamma_a
3,10,gamma_1_a,2.1208182745669486,0.22643297725379016,
3,10,gamma_2_a,0.7385898705976663,0.2029558654190753,
3,10,k_c,0.11733400024667286,1.4521703420288751e-05,from gamma_a
3,16,gamma_1_a,1.4672967148493392,0.08770697345987184,
3,16,gamma_2_a,1.8032999418178173,0.20571905421734915,
3,16,k_c,0.11103986867111014,8.15304395030095e-05,from gamma_a
4,4,gamma_1_a,0.6632469580477953,0.5122561409444167,
4,4,gamma_2_a,1.110298220119829,0.4540091336084932,
4,4,k_c,0.08014598621899442,0.000640425009387913,from gamma_a
4,6,gamma_1_a,1.9044064798105933,0.6879690628540374,
4,6,gamma_2_a,1.0807122898394603,0.3983892875470921,
4,6,k_c,0.0786285362755095,0.0016249096978735512,from gamma_a
4,8,gamma_1_a,0.2080577991845976,0.21809347233776344,
4,8,gamma_2_a,1.8935778380170198,0.21138429738679854,
4,8,k_c,0.07354334081434402,4.614010720473028e-05,from gamma_a
4,10,gamma_1_a,0.8824587911208216,0.2977691048375027,
4,10,gamma_2_a,2.5567984379332787,0.4638035717674397,
4,10,k_c,0.07301090551586431,0.0006464801653227024,from gamma_a
